,Source,Destination,Depature,Arrival,capacity
0,ORD,ATL,530,829,185
1,BOS,ATL,545,854,185
2,LAX,SEA,600,900,165
3,PHX,ATL,600,1127,185
4,SFO,ATL,600,1332,230
5,ATL,BOS,600,827,185
6,DEN,ATL,600,1058,180
7,IAD,ATL,600,757,110
8,BOS,JFK,600,732,128
9,LAX,JFK,605,1423,200
10,DEN,JFK,606,1200,180
11,ORD,SEA,608,855,128
12,PHX,JFK,610,1246,180
13,DEN,SEA,610,832,128
14,LAX,ATL,615,1326,230
15,SEA,ATL,615,1400,180
16,SFO,SEA,620,840,105
17,BOS,SEA,640,1019,180
18,LAX,SFO,700,835,165
19,SEA,ORD,700,1306,128
20,IAD,ATL,700,903,110
21,BOS,ATL,700,1005,185
22,PHX,ATL,705,1232,185
23,DEN,ATL,705,1200,180
24,SFO,ATL,715,1445,230
25,SEA,SFO,724,946,105
26,ATL,JFK,725,935,150
27,ATL,ORD,725,835,150
28,ATL,BOS,730,1002,185
29,ORD,ATL,731,1032,150
30,ATL,IAD,733,915,126
31,SEA,PHX,734,1129,165
32,BOS,SFO,740,1147,230
33,LAX,ATL,745,1446,230
34,SEA,JFK,745,1547,230
35,SEA,DEN,747,1130,128
36,LAX,SEA,750,1045,165
37,LAX,JFK,755,1612,200
38,LAX,DEN,759,1122,128
39,SEA,IAD,759,1556,128
40,LAX,BOS,800,1626,180
41,PHX,SEA,800,1017,165
42,ATL,PHX,800,1026,185
43,BOS,ATL,800,1101,185
44,ATL,SFO,810,1044,230
45,SEA,ATL,811,1559,180
46,ATL,SEA,811,1044,180
47,ATL,DEN,812,940,180
48,ORD,ATL,817,1119,150
49,ATL,JFK,820,1030,150
50,LAX,PHX,835,1112,78
51,LAX,ATL,845,1558,230
52,ATL,ORD,845,948,110
53,ATL,BOS,855,1122,185
54,LAX,SFO,905,1038,128
55,SFO,ATL,910,1643,230
56,LAX,SEA,915,1212,165
57,ORD,ATL,920,1223,150
58,LAX,JFK,925,1750,200
59,SEA,SFO,925,1146,128
60,BOS,ATL,925,1225,185
61,SEA,ATL,945,1731,180
62,ATL,SFO,947,1217,180
63,ATL,IAD,950,1131,126
64,IAD,ATL,954,1147,110
65,ATL,DEN,955,1121,180
66,SEA,DEN,1000,1343,128
67,ATL,ORD,1007,1119,110
68,PHX,ATL,1015,1545,185
69,ATL,SEA,1020,1300,180
70,ATL,BOS,1028,1300,185
71,ORD,ATL,1028,1328,110
72,LAX,ATL,1030,1740,230
73,ATL,JFK,1032,1243,150
74,SFO,SEA,1037,1258,105
75,DEN,ATL,1040,1526,180
76,ATL,SFO,1049,1323,180
77,SEA,BOS,1055,1915,165
78,LAX,PHX,1100,1336,78
79,BOS,ATL,1100,1357,185
80,DEN,JFK,1105,1606,180
81,ATL,PHX,1107,1332,185
82,SEA,PHX,1110,1500,165
83,ATL,ORD,1118,1125,110
84,SEA,ORD,1119,1722,128
85,LAX,JFK,1125,1954,200
86,SEA,ATL,1133,1913,180
87,SEA,JFK,1140,2000,230
88,SFO,ATL,1152,1932,230
89,LAX,SEA,1155,1450,165
90,ATL,DEN,1155,1317,180
91,LAX,ATL,1201,1916,230
92,ATL,SEA,1204,1440,180
93,ORD,ATL,1204,1507,150
94,ATL,JFK,1205,1415,150
95,IAD,ATL,1215,214,150
96,DEN,ATL,1219,1706,180
97,PHX,SEA,1220,1429,165
98,BOS,ATL,1222,1521,185
99,ATL,BOS,1225,1454,185
100,DEN,SEA,1225,1426,150
